quote,author,category
"Writing, when properly managed, (as you may be sure I think mine is) is but a different name for conversation.",Laurence Sterne,"conversation, write, writing"
"I don’t teach. I just show them why to learn, what to learn, how to learn, and the ultimate purpose of learning.",Debasish Mridha,"buddha, debasish-mridha, education, gandhi, inspirational"
There is much pleasure to be gained from useless knowledge.,Bertrand Russell,"humor, knowledge, pleasure, pointless"
Be strong. There is hope in any situation.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","character, choices, christian-life, courage, faith"
"Today I wonder why it is God refers to Himself as 'Father' at all. This, to me, in light of the earthly representation of the role, seems a marketing mistake.","Donald Miller, Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality","earthly, father, god, role"
"She hugged me and I could feel the heat rise in my face, either from shame or love, like there was a difference.","Christopher Moore, Lamb: The Gospel According to Biff, Christ's Childhood Pal","94, love, shame"
Do all you can to make your dreams come true.,Joel Osteen,"your dreams, true, you "
"Joy comes, grief goes, we know not how.",James Russell Lowell,"joy, grief, know "
"In times of your need, you will know your true friends.",Lailah Gifty Akita,"adversity, friends, need, philosophy"
"Money, it turned out, was exactly like sex, you thought of nothing else if you didn't have it and thought of other things if you did.",James A. Baldwin,"thought, nothing, you "
"When you look for beauty, you usually end up finding it.From Central Park Song (A Screenplay)","Zack Love, Stories and Scripts: an Anthology","beauty, central-park, romance, romantic-connection, screenplay"
Know what you want. Pursue what you need. Realize what you ought. Attain what you desire.,Matshona Dhliwayo,"desire, dream-quotations, dream-quote, dream, dreamer-quotations"
"You can only write well ,what you have lived.",Lailah Gifty Akita,"education, experience, inspiration, living, writers"
"Outside, snow solidified itself into graceful forms. The peace of winter stars seemed permanent.","Toni Morrison, Beloved","peace, snow, winter"
"And yet,to say the truth, reason and love keep little company together nowadays.","William Shakespeare, A Midsummer Night's Dream",love
The horizons of man are incomparably narrower than that of the land on which he toils. Editor of the Nebraska journal,"H.W. Brands, American Colossus: The Triumph of Capitalism, 1865-1900","calling, job, ministry, perspective, vocation"
He was right that I was afraid. But I didn’t think I was afraid of the truth. I was afraid of believing something that would destroy me if it turned out to be a lie.,"Amy Harmon, The Law of Moses","amy-harmon, believing, lies, quotes"
May you find the grace of triumph in any situation.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","challenges, christian-life, darktimes, difficulty, faith"
"Take care. If you do not speak – I shall claim you as my own in some strange presumptuous way. Send me away at once, if I must go; – Margaret! –","Elizabeth Gaskell, North and South","love, romance"
"Don't talk for five minutes, there's a good chap! I've a strange feeling come over me--almost as if I were going to think!","Aleister Crowley, Moonchild","humor, humour"
Welcome to Hollywood. Here you can be whatever you want! That's the secret of American success! Fake it till you make it!,"Lily Amis, America’s Royal Family","america, american-dream, hollywood, success"
What we call wisdom is the result of all the wisdom of past ages. Our best institutions are like young trees growing upon the roots of the old trunks that have crumbled away.,Henry Ward Beecher,"best, past, trees "
"There is very hard bonding between Tears and Rain, often both falls together in Happiness and in Pain'' -Samar Sudha",Samar Sudha,"bonding, pain, rain, tears"
"We all have an inner intuition for authenticity, for matched up internal and external truth. When we detect this, we feel immediate comfort. We know truth when we hear it.","Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness","authentic, authenticity, intuition, intuitive, truth"
Drink freely the wine life offers you and don't worry how much you spill.,Marty Rubin,"freedom, joy, life, wine"
"War had bled color from everything, leaving nothing but a storm of gray.","Ruta Sepetys, Salt to the Sea","history, life, tragedy, war"
You can't get mad at a real ending. Some of them are ugly. It's the fake happily ever afters that should piss you off.,"Colleen Hoover, Hopeless"," happy-endings, life, real-life, reality"
"A new word. Bright with possibilities. A flawless pearl to turn over and over in my hand, then put away for safekeeping.","Jennifer Donnelly, A Northern Light","words, writing"
"If a pleasure lasts forever, it isn’t a pleasure anymore.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
They're a group called The Spirit-crushers and their leader is known as The Almighty Spirit-crusher.,"S.A. Tawks, The Spirit of Imagination","author, imagination, reader, reading, spirituality"
Live with boldness! Get drunk with all of the beauty of life.,Debasish Mridha," debasish-mridha, get-drunk, inspirational, philosophy, quotes"
"The cause of liberty becomes a mockery if the price to be paid is the wholesale destruction of those who are to enjoy liberty. Ghandi, quoted in Merton, p. 68","Thomas Merton, Gandhi On Non-Violence","freedom, liberty"
"If your love for your wife can be measured, it is not big enough.",Matshona Dhliwayo,"courtship, dating, husband, love-quotations, love"
"Life is a gift and every day is an opportunity to share your gift with others. Don’t be grateful, be fabulously grateful",Val Uchendu," fabulous, gift, gratefulness, life, opportunity"
"I discovered that seventeen-year-old girls have such huge verbal energy that their brain drives them to expend it every twenty seconds. On the third day I decided I had to find her a boyfriend -- if possible, a deaf one.","Carlos Ruiz Zafón, The Angel's Game","humor, women"
As I get older I find it more and more easy to watch a pot until it boils.,Clifford Cohen,"acceptance, expectancy, patience, time, waiting"
